"","na_count","Year","AHA.ID","Medicare.Provider.ID","Address.1..physical.","City.Name..physical.","State..physical.","Zip.code..physical.","Telephone.number","Bed.size.code","Primary.Service","Member.of.Council.of.Teaching.Hospital.of.the.Association.of.American.Medical.Colleges..COTH.","Catholic.Church.Operated","Critical.Access.Hospital","Rural.Referral.Center","Sole.Community.Provider","Network.member","Network.name","Network.city","Network.state","Accountable.Care.Organization.Established","ACO.Medicare.Population","System.ID","System.Name","System.Address","System.City","System.State","System.Zip","CMO.Full.Name","CMO.Title","CNO.Full.Name","CNO.Title","Average.daily.census","Licensed.Beds","Licensed.beds..long.term.unit.","Medical.Home","MEDHSE","Hospital.established.a.clinically.integrated.network","Physical.Rehabilitation.care","REHABSYS","Skilled.nursing.care","SNSYS","Intermediate.nursing.care","ICFSYS","Other.long.term.care","OTHLTSYS","Adult.day.care.program","ADULTSYS","Alzheimer.Center.","ALZSYS","Assisted.living.services.","ASSTLSYS","Case.Management","CMNGTSYS","Geriatric.services","GERSVSYS","Home.health.services","HOMEHSYS","Hospice.Program","HOSPCSYS","Pain.Management.Program","PAINSYS","Palliative.Care.Program","PALSYS","Psychiatric.geriatric.services","PSYGRSYS","Retirement.housing","RETIRSYS","Social.work.services","SOCWKSYS","Transportation.to.health.services","TPORTSYS","Wound.Management.Services...hospital","WMGTSYS","Total.Facility.Medicare.Discharges","Total.Facility.Medicare.days","Hospital.unit.Medicare.discharges","Hospital.Unit.Medicare.Days","Nursing.Home.Medicare.Discharges","Nursing.Home.Medicare.Days","Nursing.Home.Medicaid.Discharges","Nursing.Home.Medicaid.Days","Registered.nurses..FTEC.","Licensed.practical.or.vocational.nurses..FTEC.","Number.of.new.RN.graduates.hired","Beginning.of.reporting.period","End.of.reporting.period","Response.code","Hospital.Unit.Medicare.Inpatient.Days..est..","Hospital.Unit.Medicare.Inpatient.Discharges..est..","Medicare.Inpatient.Days..est..","Medicare.Inpatient.Discharges...est..","Nursing.Home.Unit.Medicaid.Inpatient.Days..est..","Nursing.Home.Unit.Medicaid.Inpatient.Discharges..est..","Nursing.Home.Unit.Medicare.Inpatient.Days..est..","Nursing.Home.Unit.Medicare.Inpatient.Discharges..est..","Licensed.Practical.Nurses.FT..est..","Part.Time.Licensed.Practical.or.Vocational.Nurses..est..","Part.Time.Registered.Nurses..est..","Registered.Nurses.FT..est.."
"11",74,"Current",6840030,"060103","100 Health Park Drive","Louisville","CO","80027-9583","3036731000","100-199 beds","General medical and surgical","N","N","N","N","N","N",NA,NA,NA,"Y","Y","5994165","AdventHealth","900 Hope Way","Altamonte Springs","FL","32714-1502","Dr. David Ehrenberger, MD","Chief Medical Officer","Ms. Lavah Boyers Lowe, FACHE, RN","Chief Nursing Officer",34,114,NA,"N",1,"N","Y",1,"N",1,"N",1,"N",0,"N",0,"N",0,"N",1,"Y",0,"Y",0,"Y",1,"Y",1,"Y",0,"Y",0,"N",1,"N",0,"Y",0,"N",0,"N",1,780,2332,NA,NA,NA,NA,NA,NA,229,4,5,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"12",76,"Current",6210001,"330136","One Atwell Road","Cooperstown","NY","13326-1394","6075473456","100-199 beds","General medical and surgical","Y","N","N","N","N",NA,NA,NA,NA,NA,NA,"5990528","Bassett Healthcare Network","1 Atwell Road","Cooperstown","NY","13326-1301","Dr. William W LeCates, MD","Vice President Medical Affairs and Medical Director","Ms. Judi Brendle","Vice President Clinical Support and Chief Nursing Officer",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4331,20482,NA,NA,NA,NA,NA,NA,734,43,NA,NA,NA,"N","Reported","Reported","Estimated","Estimated","Reported","Reported","Reported","Reported","Estimated","Estimated","Estimated","Estimated"
"13",75,"Current",6210001,"330136","One Atwell Road","Cooperstown","NY","13326-1394","6075473456","100-199 beds","General medical and surgical","Y","N","N","N","N",NA,NA,NA,NA,NA,NA,"5990528","Bassett Healthcare Network","1 Atwell Road","Cooperstown","NY","13326-1301","Dr. William W LeCates, MD","Vice President Medical Affairs and Medical Director","Ms. Judi Brendle","Vice President Clinical Support and Chief Nursing Officer",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4331,20482,NA,NA,NA,NA,NA,NA,734,43,NA,NA,NA,"N","Reported","Reported","Estimated","Estimated","Reported","Reported","Reported","Reported","Estimated","Estimated","Estimated","Estimated"
"14",15,"Current",6210001,"330136","One Atwell Road","Cooperstown","NY","13326-1394","6075473456","100-199 beds","General medical and surgical","Y","N","N","N","N",NA,NA,NA,NA,NA,NA,"5990528","Bassett Healthcare Network","1 Atwell Road","Cooperstown","NY","13326-1301","Dr. William W LeCates, MD","Vice President Medical Affairs and Medical Director","Ms. Judi Brendle","Vice President Clinical Support and Chief Nursing Officer",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4331,20482,NA,NA,NA,NA,NA,NA,734,43,NA,NA,NA,"N","Reported","Reported","Estimated","Estimated","Reported","Reported","Reported","Reported","Estimated","Estimated","Estimated","Estimated"
"15",72,"Current",6442245,"230130","3601 West Thirteen Mile Road","Royal Oak","MI","48073-6712","2488985000","500 or more beds","General medical and surgical","Y","N","N","N","N","N",NA,NA,NA,"Y","Y","5990953","Beaumont Health","2000 Town Center, Suite 1200","Southfield","MI","48075-1145","Dr. Leslie Rocher","Senior Vice President and Chief Medical Officer","Ms. Maureen Bowman","Vice President and Chief Nursing Officer",862,1100,NA,"N",1,"N","Y",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"N",1,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"N",1,"Y",0,"Y",0,"Y",0,29311,177294,NA,NA,NA,NA,NA,NA,2722,1,217,"1/1/2017","12/31/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"16",76,"Current",6440004,"230142","33155 Annapolis Street","Wayne","MI","48184-2405","7344674000","100-199 beds","General medical and surgical","N","N","N","N","N","Y","VHA","Irving","TX","Y","Y","5990953","Beaumont Health","2000 Town Center, Suite 1200","Southfield","MI","48075-1145","Dr. Ashok Jain, MD","Senior Vice President and Chief Medical Officer","Ms. Diane L Hartley","Director of Patient Care Services",88,185,NA,"N",1,"N","N",1,"N",1,"N",1,"N",1,"N",0,"N",1,"N",1,"Y",0,"N",1,"N",1,"N",1,"Y",0,"Y",0,"N",1,"N",1,"Y",0,"Y",0,"Y",0,4275,20227,NA,NA,NA,NA,NA,NA,255,0,23,"1/1/2017","12/31/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"17",76,"Current",6440004,"230142","33155 Annapolis Street","Wayne","MI","48184-2405","7344674000","100-199 beds","General medical and surgical","N","N","N","N","N","Y","VHA","Irving","TX","Y","Y","5990953","Beaumont Health","2000 Town Center, Suite 1200","Southfield","MI","48075-1145","Dr. Ashok Jain, MD","Senior Vice President and Chief Medical Officer","Ms. Diane L Hartley","Director of Patient Care Services",88,185,NA,"N",1,"N","N",1,"N",1,"N",1,"N",1,"N",0,"N",1,"N",1,"Y",0,"N",1,"N",1,"N",1,"Y",0,"Y",0,"N",1,"N",1,"Y",0,"Y",0,"Y",0,4275,20227,NA,NA,NA,NA,NA,NA,255,0,23,"1/1/2017","12/31/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"18",19,"Current",6310030,"080007","424 Savannah Road","Lewes","DE","19958-1462","3026453300","100-199 beds","General medical and surgical","N","N","N","Y","N","N",NA,NA,NA,"Y","Y",NA,NA,NA,NA,NA,NA,"Dr. Jeffrey Hawtof, MD","Vice President Medical Operations and Informatics","Mr. Steve Rhone, RN, BSN, BS","Vice President Patient Care Services",134,210,NA,"Y",0,NA,"N",0,"N",0,"Y",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"Y",0,"N",0,"Y",0,"Y",1,"N",0,"N",0,"Y",0,"N",0,"Y",0,7293,32254,NA,NA,NA,NA,NA,NA,611,55,32,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"19",77,"Current",6310030,"080007","424 Savannah Road","Lewes","DE","19958-1462","3026453300","100-199 beds","General medical and surgical","N","N","N","Y","N","N",NA,NA,NA,"Y","Y",NA,NA,NA,NA,NA,NA,"Dr. Jeffrey Hawtof, MD","Vice President Medical Operations and Informatics","Mr. Steve Rhone, RN, BSN, BS","Vice President Patient Care Services",134,210,NA,"Y",0,NA,"N",0,"N",0,"Y",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"Y",0,"N",0,"Y",0,"Y",1,"N",0,"N",0,"Y",0,"N",0,"Y",0,7293,32254,NA,NA,NA,NA,NA,NA,611,55,32,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"20",36,"Current",6450160,"520100","1969 West Hart Road","Beloit","WI","53511-2299","6083645011","100-199 beds","General medical and surgical","N","N","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dr. Kenneth Klein, MD","Vice President Medical Affairs","Ms. Doris Mulder, RNC,BSN,MBA","Vice President Nursing",39,256,NA,NA,NA,NA,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"Y",0,"Y",0,"Y",0,"N",0,"Y",0,"N",0,"Y",0,"N",0,"Y",0,"N",0,"N",0,2304,9170,NA,NA,NA,NA,NA,NA,184,4,NA,"1/1/2017","12/31/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"21",22,"Current",6340921,"490059","5801 Bremo Road","Richmond","VA","23226-1907","8042852011","300-399 beds","General medical and surgical","N","Y","N","N","N",NA,NA,NA,NA,NA,NA,"5995085","Bon Secours Mercy Health","1505 Marriottsville Road","Marriottsville","MD","21104-1399","Dr. Khiet Trinh, MD","Chief Medical Officer","Ms. Jody A. Bishop","Vice President of Patient Care Services and Chief Nursing Executive",269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,46890,NA,NA,NA,NA,NA,NA,874,27,NA,NA,NA,"N","Reported","Reported","Estimated","Estimated","Reported","Reported","Reported","Reported","Estimated","Estimated","Estimated","Estimated"
"22",26,"Current",6340921,"490059","5801 Bremo Road","Richmond","VA","23226-1907","8042852011","300-399 beds","General medical and surgical","N","Y","N","N","N",NA,NA,NA,NA,NA,NA,"5995085","Bon Secours Mercy Health","1505 Marriottsville Road","Marriottsville","MD","21104-1399","Dr. Khiet Trinh, MD","Chief Medical Officer","Ms. Jody A. Bishop","Vice President of Patient Care Services and Chief Nursing Executive",269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,46890,NA,NA,NA,NA,NA,NA,874,27,NA,NA,NA,"N","Reported","Reported","Estimated","Estimated","Reported","Reported","Reported","Reported","Estimated","Estimated","Estimated","Estimated"
"23",76,"Current",6140010,"220031","1 Boston Medical Center Place","Boston","MA","02118-2908","6176388000","400-499 beds","General medical and surgical","Y","N","N","N","N","Y","Boston HealthNet","Boston","MA","Y","Y",NA,NA,NA,NA,NA,NA,"Dr. Ravin Davidoff, MD","Chief Medical Officer",NA,NA,335,567,NA,NA,NA,NA,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"N",0,"N",0,"Y",0,"Y",0,"Y",0,"N",0,"Y",0,"Y",0,"Y",0,7830,44699,NA,NA,NA,NA,NA,NA,1343,21,34,"10/1/2016","9/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"24",75,"Current",6350630,"511300","1 Healthcare Drive","Philippi","WV","26416-9405","3044571760","50-99 beds","General medical and surgical","N","N","Y","N","N","Y","Health Partners Network","Bridgeport","WV","Y","Y","5990864","Davis Health System","Reed Street and Gorman Avenue","Elkins","WV","26241",NA,NA,NA,NA,56,72,"60",NA,NA,NA,"N",0,"Y",0,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"N",0,"N",1,"N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"N",0,140,2540,"135","1887","5","653","36","16051",23,14,1,"1/1/2017","12/31/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"25",76,"Current",6432445,"140147","800 East Locust Street","Olney","IL","62450-2553","6183952131","50-99 beds","General medical and surgical","N","N","N","N","N","Y","The Carle Foundation","Urbana","IL","N",NA,"5992575","Carle Foundation","611 West Park Street","Urbana","IL","61801-2595","Dr. Robert Nash, MD","Chief of Staff","Ms. Gina Thomas","Chief Nursing Officer & Director of Patient Care Services",23,134,"34",NA,NA,NA,"N",0,"Y",0,"N",0,"Y",0,"N",0,"N",0,"N",0,"Y",0,"N",0,"Y",0,"Y",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"N",0,841,3741,NA,NA,NA,NA,NA,NA,131,6,2,"10/1/2016","9/30/2017","Y","Reported","Reported","Estimated","Estimated","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"26",16,"Current",6432445,"140147","800 East Locust Street","Olney","IL","62450-2553","6183952131","50-99 beds","General medical and surgical","N","N","N","N","N","Y","The Carle Foundation","Urbana","IL","N",NA,"5992575","Carle Foundation","611 West Park Street","Urbana","IL","61801-2595","Dr. Robert Nash, MD","Chief of Staff","Ms. Gina Thomas","Chief Nursing Officer & Director of Patient Care Services",23,134,"34",NA,NA,NA,"N",0,"Y",0,"N",0,"Y",0,"N",0,"N",0,"N",0,"Y",0,"N",0,"Y",0,"Y",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"Y",0,"N",0,841,3741,NA,NA,NA,NA,NA,NA,131,6,2,"10/1/2016","9/30/2017","Y","Reported","Reported","Estimated","Estimated","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"27",17,"Current",6930444,"050625","8700 Beverly Boulevard","Los Angeles","CA","90048-1865","3104235000","500 or more beds","General medical and surgical","Y","N","N","N","N","N",NA,NA,NA,"Y","Y","5990984","Cedars-Sinai Health System","8700 Beverly Boulevard","West Hollywood","CA","90048-1865","Dr. Michael L Langberg, MD","Senior Vice President Medical Affairs and Chief Medical Officer","Dr. Linda Burnes Bolton, DrPH, RN, FAAN","Vice President and Chief Nurse Executive",714,886,NA,"N",1,"N","N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"N",0,"Y",0,"Y",0,"N",0,"N",0,"Y",0,"Y",0,"N",0,"N",0,"Y",0,"N",0,"Y",0,22536,132492,NA,NA,NA,NA,NA,NA,2961,114,127,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
"28",76,"Current",6930444,"050625","8700 Beverly Boulevard","Los Angeles","CA","90048-1865","3104235000","500 or more beds","General medical and surgical","Y","N","N","N","N","N",NA,NA,NA,"Y","Y","5990984","Cedars-Sinai Health System","8700 Beverly Boulevard","West Hollywood","CA","90048-1865","Dr. Michael L Langberg, MD","Senior Vice President Medical Affairs and Chief Medical Officer","Dr. Linda Burnes Bolton, DrPH, RN, FAAN","Vice President and Chief Nurse Executive",714,886,NA,"N",1,"N","N",0,"N",0,"N",0,"N",0,"N",0,"Y",0,"N",0,"Y",0,"Y",0,"N",0,"N",0,"Y",0,"Y",0,"N",0,"N",0,"Y",0,"N",0,"Y",0,22536,132492,NA,NA,NA,NA,NA,NA,2961,114,127,"7/1/2016","6/30/2017","Y","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported","Reported"
